organizations_id,CDPNAME,ADDCITY,COUNTRY,ORGTYPE,Sector,Size,Unrestricted_operating_bottomline,year
2067,Luther Burbank Memorial Foundation DBA Luther Burbank Center for the A,Santa Rosa,USA,501(c)3 nonprofit organization,Performing Arts Centers,Large,0.7556333573240306,2018
2175,LA Freewaves,Los Angeles,USA,501(c)3 nonprofit organization,Community,Small,-0.2700341459676252,2018
2215,"Shotgun Players, Inc.",Berkeley,USA,501(c)3 nonprofit organization,Theater,Medium,0.0526402896373078,2018
2259,The Philadelphia Chamber Ensemble,Philadelphia,USA,501(c)3 nonprofit organization,Music,Small,0.1611248285322359,2018
2352,Pittsburgh Savoyards Inc,Pittsburgh,USA,501(c)3 nonprofit organization,Music,Small,0.0942405431255977,2018
2359,Symphony Silicon Valley,San Jose,USA,501(c)3 nonprofit organization,Symphony Orchestras,Large,0.0881300716345153,2018
2376,San Jose Youth Symphony,San Jose,USA,501(c)3 nonprofit organization,Symphony Orchestras,Medium,0.1617045288880622,2018
2439,Abhinaya Dance Company of San Jose,San Jose,USA,501(c)3 nonprofit organization,Dance,Medium,0.0274502031513229,2018
2473,TheatreWorks Silicon Valley,Menlo Park,USA,501(c)3 nonprofit organization,Theater,Large,0.0009501706403695,2018
2490,Theatre West,Los Angeles,USA,501(c)3 nonprofit organization,General Performing Arts,Medium,0.0100372523761445,2018
2535,Luna Dance Institute,Berkeley,USA,501(c)3 nonprofit organization,Dance,Medium,-0.1061880794780669,2018
2555,Deborah Slater Dance Theater,San Francisco,USA,501(c)3 nonprofit organization,General Performing Arts,Small,-0.0033059342750734,2018
2560,Independent Shakespeare Co.,Los Angeles,USA,501(c)3 nonprofit organization,Theater,Medium,-0.054234877013256,2018
2577,Culture Shock Los Angeles,San Pedro,USA,501(c)3 nonprofit organization,Dance,Small,-0.049339327067157,2018
2615,Teatro Vision de San Jose,San Jose,USA,501(c)3 nonprofit organization,Theater,Small,0.2062837556308519,2018
2684,Overtone Industries,Los Angeles,USA,501(c)3 nonprofit organization,Opera,Small,0.2055542178344971,2018
2792,"INCA, the Peruvian Ensemble",Los Angeles,USA,501(c)3 nonprofit organization,Music,Small,0.0621011524907134,2018
2805,South Park Theatre,South Park Township,USA,501(c)3 nonprofit organization,Community,Small,0.0452171974009402,2018
2822,Other Minds,San Francisco,USA,501(c)3 nonprofit organization,Music,Medium,0.0123829901567583,2018
2898,City Garage,Santa Monica,USA,501(c)3 nonprofit organization,Theater,Small,0.2516212822321229,2018
2905,San Fernando Valley Youth Chorus Inc,Canoga Park,USA,501(c)3 nonprofit organization,Music,Small,0.1931808422318284,2018
2926,Flyaway Productions,San Francisco,USA,501(c)3 nonprofit organization,Dance,Medium,0.1046258874752131,2018
2961,Cleveland Public Theatre,Cleveland,USA,501(c)3 nonprofit organization,Theater,Medium,6.28984542704863e-05,2018
3011,The Music Circle,Pasadena,USA,501(c)3 nonprofit organization,Music,Small,2.258428607955583,2018
3023,Automata Arts,Los Angeles,USA,501(c)3 nonprofit organization,Theater,Small,0.3992699023539355,2018
3024,"Friends of Olympia Station, Inc",Felton,USA,501(c)3 nonprofit organization,Dance,Medium,0.0055303813157842,2018
3039,Theatre Movement Bazaar,Van Nuys,USA,501(c)3 nonprofit organization,Theater,Small,-0.1815532593686015,2018
3058,Santa Monica Theatre Guild,Santa Monica,USA,501(c)3 nonprofit organization,Theater,Small,0.2457323853489234,2018
3063,San Francisco Boys Chorus,San Francisco,USA,501(c)3 nonprofit organization,Music,Large,-0.0425596127918587,2018
3065,New Hazlett Center for the Performing Arts,Pittsburgh,USA,501(c)3 nonprofit organization,Performing Arts Centers,Medium,0.7206602632231441,2018
3112,Highways Performance Space,Santa Monica,USA,501(c)3 nonprofit organization,Performing Arts Centers,Small,-0.0506529085157457,2018
3123,TA'YER,Pasadena,USA,501(c)3 nonprofit organization,Arts Education,Small,0.0166801425448447,2018
3136,Los Angeles Doctors Symphony Orchestra,Culver City,USA,501(c)3 nonprofit organization,Symphony Orchestras,Small,0.0801576872536136,2018
3150,Center for Cultural Innovation,Los Angeles,USA,501(c)3 nonprofit organization,Community,Medium,-0.1362075540030161,2018
3166,Angeles Chorale,Woodland Hills,USA,501(c)3 nonprofit organization,Music,Medium,-0.1396345109048844,2018
3179,Idris Ackamoor & Cultural Odyssey,San Francisco,USA,501(c)3 nonprofit organization,Community,Medium,0.080891934674125,2018
3189,San Jose Museum of Art,San Jose,USA,501(c)3 nonprofit organization,Art Museums,Medium,-0.0713503981169665,2018
3215,Kenneth Walker Dance Project,Lomita,USA,501(c)3 nonprofit organization,Dance,Small,-0.0148174918684495,2018
3216,"About Productions, Inc.",Pasadena,USA,501(c)3 nonprofit organization,Theater,Small,-0.1673268925684212,2018
3246,Yerba Buena Center for the Arts,San Francisco,USA,501(c)3 nonprofit organization,Community,Large,-0.0386396466699407,2018
3268,"LA Commons, a project of Community Partners",Los Angeles,USA,Unincorporated or fiscally sponsored organization,Community,Medium,-0.0458567796197186,2018
3287,501 (see three) ARTS,Los Angeles,USA,501(c)3 nonprofit organization,Community,Small,0.0935018635553394,2018
3380,StageWrite,San Francisco,USA,Unincorporated or fiscally sponsored organization,Arts Education,Small,-0.0476783726038939,2018
3484,"Kitka, Inc.",Oakland,USA,501(c)3 nonprofit organization,Music,Medium,0.0826046583610616,2018
3501,San Jose Children's Discovery Museum,San Jose,USA,501(c)3 nonprofit organization,Other Museums,Large,0.1884855984128395,2018
3506,San Jose Symphonic Choir,San Jose,USA,501(c)3 nonprofit organization,Music,Small,0.1664814403200711,2018
3528,Philadelphia Gay Men's Chorus,Philadelphia,USA,501(c)3 nonprofit organization,Music,Medium,-0.0122311926398756,2018
3689,Timken Museum of Art,San Diego,USA,501(c)3 nonprofit organization,Art Museums,Medium,0.0810530724758159,2018
3696,The Victory Theatre Center,Burbank,USA,501(c)3 nonprofit organization,Theater,Small,0.1910074812627444,2018
3704,Dance Studio Showtime-Katusha,Winnetka,USA,501(c)3 nonprofit organization,Dance,Small,0.0016772895001677,2018
3734,Jacarandamusic,Los Angeles,USA,501(c)3 nonprofit organization,Music,Medium,0.0453762966232619,2018
3740,Whittier Community Theatre,Whittier,USA,501(c)3 nonprofit organization,Theater,Small,-0.0136040369463215,2018
3747,Aimusic School,San Jose,USA,501(c)3 nonprofit organization,Community,Medium,0.0044831287036085,2018
3851,San Jose Chamber Orchestra,San Jose,USA,501(c)3 nonprofit organization,Symphony Orchestras,Medium,0.0005411051720243,2018
3861,Steinway Society The Bay Area,San Jose,USA,501(c)3 nonprofit organization,Arts Education,Small,0.0997641532324595,2018
3869,Los Angeles Youth Symphony Orchestra,Los Angeles,USA,501(c)3 nonprofit organization,Music,Small,0.0015195066668355,2018
3901,"Kaisahan of San Jose Dance Co., Inc.",San Jose,USA,501(c)3 nonprofit organization,Community,Small,0.087973348672227,2018
4039,Los Angeles Theatre Academy,Los Angeles,USA,501(c)3 nonprofit organization,Arts Education,Small,0.1618049279597418,2018
4114,CubaCaribe,San Francisco,USA,501(c)3 nonprofit organization,General Performing Arts,Small,0.0344535611664062,2018
4306,CA LGBT Arts Alliance,Los Angeles,USA,501(c)3 nonprofit organization,Community,Small,-0.3378564744126484,2018
4520,Mascher Dance,Philadelphia,USA,501(c)3 nonprofit organization,General Performing Arts,Small,0.015094432542907,2018
4539,Remy Bumppo Theatre Company,Chicago,USA,501(c)3 nonprofit organization,Theater,Medium,-0.0379783408618641,2018
4618,Teatro Vista..Theater with a View,Chicago,USA,501(c)3 nonprofit organization,Theater,Small,-0.3273879764991795,2018
4981,Grand Vision Foundation,San Pedro,USA,501(c)3 nonprofit organization,Community,Medium,0.0716090148553258,2018
5052,About Face Theatre Collective,Chicago,USA,501(c)3 nonprofit organization,Theater,Medium,-0.0042088641581836,2018
5054,"Arts Are Essential, Inc.",Acton,USA,501(c)3 nonprofit organization,Arts Education,Small,-0.0078405510368579,2018
5128,"Drama Studio, Inc.",Springfield,USA,501(c)3 nonprofit organization,Arts Education,Medium,0.2374960040999203,2018
5162,Steppenwolf Theatre Company,Chicago,USA,501(c)3 nonprofit organization,Theater,Large,0.1433790347495918,2018
5173,Playwrights Horizons Inc.,New York,USA,501(c)3 nonprofit organization,Theater,Large,0.0443812116956284,2018
5253,Chicago Shakespeare Theater,Chicago,USA,501(c)3 nonprofit organization,Theater,Large,0.1345737876418548,2018
5288,Schola Antiqua of Chicago,Oak Park,USA,501(c)3 nonprofit organization,Music,Small,-0.1986324004168891,2018
5290,The Factory Theater,Chicago,USA,501(c)3 nonprofit organization,Theater,Small,0.1000737235130443,2018
5371,Orion Chamber Ensemble,Addison,USA,501(c)3 nonprofit organization,Music,Small,0.0255619490790983,2018
5419,Villa Musica,San Diego,USA,501(c)3 nonprofit organization,Music,Large,0.0419090828680988,2018
5478,Project Danztheatre Company,Chicago,USA,501(c)3 nonprofit organization,Theater,Small,0.4095116124424303,2018
5513,Chicago Dance Crash,Chicago,USA,501(c)3 nonprofit organization,Dance,Small,0.0712405883524302,2018
5617,Trap Door Theatre,Chicago,USA,501(c)3 nonprofit organization,Community,Small,0.6220036026049605,2018
5629,A Noise Within,Pasadena,USA,501(c)3 nonprofit organization,Theater,Large,0.0924885964513275,2018
5640,Steep Theatre Company,Chicago,USA,501(c)3 nonprofit organization,Theater,Small,0.5833405076051911,2018
5645,The Neo-Futurists,Chicago,USA,501(c)3 nonprofit organization,Theater,Medium,-0.115894558239005,2018
5657,The Plagiarists,Chicago,USA,501(c)3 nonprofit organization,Theater,Small,0.0842468378689152,2018
5685,"Triboro Youth Theatre, Inc.",Attleboro,USA,501(c)3 nonprofit organization,Theater,Small,0.0453668213120306,2018
5756,Northampton Community Music Center,Northampton,USA,501(c)3 nonprofit organization,Music,Medium,0.0420214008616922,2018
5816,"Metropolitan Wind Symphony, Inc.",Jamaica Plain,USA,501(c)3 nonprofit organization,Music,Medium,-0.1828883098130788,2018
5826,Greater Columbus Arts Council,Columbus,USA,501(c)3 nonprofit organization,Community,Large,0.0370921808308668,2018
5834,The Dance Center of Columbia College Chicago,Chicago,USA,Program or department within a parent organization,General Performing Arts,Medium,-0.8494440647267935,2018
5837,The Cleveland Museum of Natural History,Cleveland,USA,501(c)3 nonprofit organization,Other Museums,Large,0.212232262457246,2018
5843,Manifest Creative Research Gallery and Drawing Center,Cincinnati,USA,501(c)3 nonprofit organization,Community,Medium,0.1217444628814659,2018
5845,"Central Ohio Symphony, Inc.",Delaware,USA,501(c)3 nonprofit organization,Symphony Orchestras,Small,0.2543023264571424,2018
5889,Art House,Cleveland,USA,501(c)3 nonprofit organization,Community,Small,-0.0003442512309246,2018
5894,The Music Settlement,Cleveland,USA,501(c)3 nonprofit organization,Arts Education,Large,0.1275314133022164,2018
5895,Playhouse Square Foundation,Cleveland,USA,501(c)3 nonprofit organization,Performing Arts Centers,Large,0.7123611640862689,2018
5899,Cleveland Play House,Cleveland,USA,501(c)3 nonprofit organization,Theater,Large,-0.0440480889884463,2018
5930,Available Light Theatre,Columbus,USA,501(c)3 nonprofit organization,Theater,Small,0.2600071789286068,2018
5946,Zanesville Museum of Art,Zanesville,USA,501(c)3 nonprofit organization,Art Museums,Small,-0.0293894253871312,2018
5951,Victoria Theatre Association (DBA Dayton Live),Dayton,USA,501(c)3 nonprofit organization,Performing Arts Centers,Large,0.1296094963668403,2018
5954,North Coast Men's Chorus,Lakewood,USA,501(c)3 nonprofit organization,Music,Medium,-0.032847698864487,2018
5962,The West Shore Chorale,Lakewood,USA,501(c)3 nonprofit organization,Music,Small,0.4706698785954724,2018
5977,Roots of American Music,Cleveland,USA,501(c)3 nonprofit organization,Arts Education,Small,-0.187146529562982,2018
6019,"Foluke Cultural Arts Center, Inc.",Cleveland,USA,501(c)3 nonprofit organization,Community,Small,-0.4062441261606706,2018
6029,Pakachoag Music School of Greater Worcester,Auburn,USA,501(c)3 nonprofit organization,Arts Education,Medium,0.231233224029711,2018
6036,Musical Arts Association,Cleveland,USA,501(c)3 nonprofit organization,Symphony Orchestras,Large,0.1389212467789191,2018
6040,The Musical Theater Project,Independence,USA,501(c)3 nonprofit organization,Theater,Medium,0.3066006163281671,2018
6089,Rainey Institute,Cleveland,USA,501(c)3 nonprofit organization,Music,Large,0.1746846774084992,2018
6104,DANCECleveland,Cleveland,USA,501(c)3 nonprofit organization,Dance,Medium,-0.0333950873112586,2018
6125,SOL-LA Music Academy,Santa Monica,USA,501(c)3 nonprofit organization,Arts Education,Medium,0.0003283069727793,2018
6145,Dancing Wheels Company & School,Cleveland,USA,501(c)3 nonprofit organization,Dance,Medium,0.2675629182101423,2018
6147,Near West Theatre,Cleveland,USA,501(c)3 nonprofit organization,Theater,Medium,-0.0568903980794333,2018
6167,The Cleveland Museum of Art,Cleveland,USA,501(c)3 nonprofit organization,Art Museums,Large,0.2797050757358107,2018
6192,"Museum of Contemporary Art, Cleveland",Cleveland,USA,501(c)3 nonprofit organization,Community,Large,2.088524443737875,2018
6231,Great Lakes Theater,Cleveland,USA,501(c)3 nonprofit organization,Theater,Large,0.0639594825857389,2018
6242,Cantemus Chamber Chorus,Ipswich,USA,501(c)3 nonprofit organization,Music,Small,0.3657798106036204,2018
6254,Brookline Music School,Brookline,USA,501(c)3 nonprofit organization,Arts Education,Medium,0.029720849580373,2018
6282,The Children's Theatre of Cincinnati,Cincinnati,USA,501(c)3 nonprofit organization,Theater,Large,0.111906824975947,2018
6323,Concord Chamber Music Society,Concord,USA,501(c)3 nonprofit organization,Music,Small,-0.1729683972911964,2018
6353,Verb Ballets,Cleveland,USA,501(c)3 nonprofit organization,Dance,Medium,0.1466456826082871,2018
6364,Center for Arts-Inspired Learning,Cleveland,USA,501(c)3 nonprofit organization,Arts Education,Medium,0.0640975234629277,2018
6370,Radius Ensemble,Concord,USA,501(c)3 nonprofit organization,Music,Small,0.0200472358096687,2018
6416,The Concert Singers,Los Angeles,USA,501(c)3 nonprofit organization,Music,Small,0.0008922336876406,2018
6419,Raven Theatre Company,Chicago,USA,501(c)3 nonprofit organization,Theater,Medium,0.1290235847029979,2018
6433,Contemporary Youth Orchestra,Cleveland,USA,501(c)3 nonprofit organization,Symphony Orchestras,Medium,-0.1064090062937682,2018
6490,Arthur Ross Gallery,Philadelphia,USA,Program or department within a parent organization,Art Museums,Small,0.0779808207602558,2018
6513,BalletMet,Columbus,USA,501(c)3 nonprofit organization,Dance,Large,0.0864989065000819,2018
6518,Cashion Cultural Legacy,San Jose,USA,501(c)3 nonprofit organization,Dance,Small,-0.3273789720106707,2018
6519,Columbus Museum of Art,Columbus,USA,501(c)3 nonprofit organization,Art Museums,Large,0.1926412797792742,2018
6529,Lima Symphony Orchestra,Lima,USA,501(c)3 nonprofit organization,Symphony Orchestras,Medium,-0.1127851151116189,2018
6534,GroundWorks DanceTheater,Cleveland,USA,501(c)3 nonprofit organization,Dance,Medium,-0.0187140778584642,2018
6557,Dance in the Parks,Chicago,USA,501(c)3 nonprofit organization,Dance,Small,0.0588700326762938,2018
6578,Apollo's Fire,Cleveland Heights,USA,501(c)3 nonprofit organization,Symphony Orchestras,Medium,-0.0024761212249624,2018
6581,Chagrin Valley Little Theatre,Chagrin Falls,USA,501(c)3 nonprofit organization,Theater,Medium,-0.0908226827570989,2018
6620,K12 Gallery for Young People,Dayton,USA,501(c)3 nonprofit organization,Arts Education,Medium,0.0338668656309863,2018
6622,Springfield Museums Corp. (dba Springfield Museums),Springfield,USA,501(c)3 nonprofit organization,Other Museums,Large,0.6734189209403875,2018
6695,Cincinnati Playhouse in the Park,Cincinnati,USA,501(c)3 nonprofit organization,Theater,Large,0.0445310336394511,2018
6741,Delaware County Cultural Arts Center,Delaware,USA,501(c)3 nonprofit organization,Community,Medium,0.0113998139169879,2018
6747,Ensemble Theatre Cincinnati,Cincinnati,USA,501(c)3 nonprofit organization,Theater,Medium,0.3188258976530488,2018
6821,Boston City Singers,Boston,USA,501(c)3 nonprofit organization,Music,Medium,0.0026321189896232,2018
6843,Chicago Tap Theatre,Chicago,USA,501(c)3 nonprofit organization,Dance,Small,0.0051413079112656,2018
6852,The Newberry Consort,Chicago,USA,501(c)3 nonprofit organization,Music,Medium,0.0778313355799172,2018
6862,Valley Art Center,Chagrin Falls,USA,501(c)3 nonprofit organization,Community,Medium,0.0894382483950303,2018
6907,Maltz Museum of Jewish Heritage,Beachwood,USA,501(c)3 nonprofit organization,Other Museums,Medium,0.2998615049537125,2018
6922,Columbus Symphony Orchestra,Columbus,USA,501(c)3 nonprofit organization,Symphony Orchestras,Large,0.0100712397209987,2018
6953,Inlet Dance Theatre,Cleveland,USA,501(c)3 nonprofit organization,Dance,Medium,-0.2653605095678291,2018
6955,Theater Wit,Chicago,USA,501(c)3 nonprofit organization,Theater,Medium,0.1981556662841525,2018
6998,CAPA,Columbus,USA,501(c)3 nonprofit organization,Performing Arts Centers,Large,0.2632117909838809,2018
7000,Contemporary American Theatre Company (CATCO),Columbus,USA,501(c)3 nonprofit organization,Theater,Medium,-0.0120260383889238,2018
7038,Actors' Theatre of Columbus,Columbus,USA,501(c)3 nonprofit organization,Theater,Small,0.1542345327789414,2018
7052,Broadway School of Music and the Arts,Cleveland,USA,501(c)3 nonprofit organization,Arts Education,Small,0.0363768427111551,2018
7097,Taft Museum of Art,Cincinnati,USA,501(c)3 nonprofit organization,Other Museums,Large,0.1329536916706593,2018
7110,City of Upper Arlington,Columbus,USA,Program or department within a parent organization,Community,Small,0.3478418696973558,2018
7154,Cincinnati Chamber Orchestra,Cincinnati,USA,501(c)3 nonprofit organization,Symphony Orchestras,Medium,0.0035459354570445,2018
7158,"Northern Ohio Children's Performing Music Foundation, Inc",Cleveland,USA,501(c)3 nonprofit organization,Music,Medium,-0.0344545066048238,2018
7180,"Community Arts Project, Inc. (dba The King Arts Complex)",Columbus,USA,501(c)3 nonprofit organization,Performing Arts Centers,Medium,0.1418374917442661,2018
7212,Fine Line Creative Arts Center,Saint Charles,USA,501(c)3 nonprofit organization,Arts Education,Medium,0.2226461689062917,2018
7222,ProMusica Chamber Orchestra,Columbus,USA,501(c)3 nonprofit organization,General Performing Arts,Medium,0.0861661184322454,2018
7281,Jazz Arts Group,Columbus,USA,501(c)3 nonprofit organization,Music,Large,0.0177664315334158,2018
7293,Opera Columbus,Columbus,USA,501(c)3 nonprofit organization,Opera,Medium,0.0090361597291235,2018
7329,sjdanceco,San Jose,USA,501(c)3 nonprofit organization,Dance,Small,0.2936237850796049,2018
7399,Bi-Okoto Drum and Dance Theatre,Cincinnati,USA,501(c)3 nonprofit organization,Community,Medium,0.2135091982984171,2018
7432,The Cleveland Opera,Cleveland,USA,501(c)3 nonprofit organization,Opera,Small,0.0060726717251396,2018
7635,Contemporary Arts Center,Cincinnati,USA,501(c)3 nonprofit organization,Art Museums,Medium,0.0953552851211113,2018
7646,Columbus Dance Theatre,Columbus,USA,501(c)3 nonprofit organization,Dance,Medium,0.0492298385000401,2018
7650,Lincoln Theatre Association,Columbus,USA,501(c)3 nonprofit organization,Theater,Medium,0.9939254652017157,2018
7709,"Toledo Cultural Arts Center, Inc.",Toledo,USA,501(c)3 nonprofit organization,Performing Arts Centers,Medium,0.1600729509142623,2018
7760,Mansfield Art Center,Mansfield,USA,501(c)3 nonprofit organization,Community,Medium,-0.1823318569928314,2018
7853,Columbus Children's Theatre,Columbus,USA,501(c)3 nonprofit organization,Theater,Medium,-0.0005747740324213,2018
7939,Dobama Theatre,Cleveland Heights,USA,501(c)3 nonprofit organization,Theater,Medium,0.0554291377950331,2018
